Ticker,Model,MAPE (%),Median APE (%),Std Error,Coverage (%),Directional Accuracy (%),Value at Risk (%),Expected Shortfall (%),Buy and Hold Return (%),Strategy,Strategy Return (%)
AAPL,GBM,27.363691398334954,24.023820842930938,24.266522186123424,90.0,70.0,-21.491335851717388,-30.288971638758028,918.7543861034019,Probability,918.7543861034019
AAPL,GBM,27.363691398334954,24.023820842930938,24.266522186123424,90.0,70.0,-21.491335851717388,-30.288971638758028,918.7543861034019,Expected Return,918.7543861034019
AAPL,GBM,27.363691398334954,24.023820842930938,24.266522186123424,90.0,70.0,-21.491335851717388,-30.288971638758028,918.7543861034019,Probability + VaR,544.8138049877831
AAPL,Historical Bootstrap,27.255832848972364,23.464478571348504,24.169791546730213,90.0,70.0,-22.13781159900568,-31.02949121584039,918.7543861034019,Probability,918.7543861034019
AAPL,Historical Bootstrap,27.255832848972364,23.464478571348504,24.169791546730213,90.0,70.0,-22.13781159900568,-31.02949121584039,918.7543861034019,Expected Return,918.7543861034019
AAPL,Historical Bootstrap,27.255832848972364,23.464478571348504,24.169791546730213,90.0,70.0,-22.13781159900568,-31.02949121584039,918.7543861034019,Probability + VaR,544.8138049877831
AAPL,Jump Diffusion,28.12294832622992,22.882112678978807,25.60804984642771,90.0,70.0,-24.124432410265307,-33.534007340795185,918.7543861034019,Probability,918.7543861034019
AAPL,Jump Diffusion,28.12294832622992,22.882112678978807,25.60804984642771,90.0,70.0,-24.124432410265307,-33.534007340795185,918.7543861034019,Expected Return,918.7543861034019
AAPL,Jump Diffusion,28.12294832622992,22.882112678978807,25.60804984642771,90.0,70.0,-24.124432410265307,-33.534007340795185,918.7543861034019,Probability + VaR,332.737563480001
AAPL,GARCH,29.68595065158309,25.769831175291756,26.820911263359392,90.0,70.0,-17.774097789343564,-27.343459942669057,918.7543861034019,Probability,918.7543861034019
AAPL,GARCH,29.68595065158309,25.769831175291756,26.820911263359392,90.0,70.0,-17.774097789343564,-27.343459942669057,918.7543861034019,Expected Return,918.7543861034019
AAPL,GARCH,29.68595065158309,25.769831175291756,26.820911263359392,90.0,70.0,-17.774097789343564,-27.343459942669057,918.7543861034019,Probability + VaR,918.7543861034019
TSLA,GBM,84.55830936354093,38.26075012638354,129.09666081058336,80.0,80.0,-39.677834402587116,-51.14048870016255,2623.618496144675,Probability,2623.618496144674
TSLA,GBM,84.55830936354093,38.26075012638354,129.09666081058336,80.0,80.0,-39.677834402587116,-51.14048870016255,2623.618496144675,Expected Return,2623.618496144674
TSLA,GBM,84.55830936354093,38.26075012638354,129.09666081058336,80.0,80.0,-39.677834402587116,-51.14048870016255,2623.618496144675,Probability + VaR,0.0
TSLA,Historical Bootstrap,85.18670890092392,37.78053224581235,130.9959481460646,80.0,80.0,-38.69155881591503,-50.32488249465661,2623.618496144675,Probability,2623.618496144674
TSLA,Historical Bootstrap,85.18670890092392,37.78053224581235,130.9959481460646,80.0,80.0,-38.69155881591503,-50.32488249465661,2623.618496144675,Expected Return,2623.618496144674
TSLA,Historical Bootstrap,85.18670890092392,37.78053224581235,130.9959481460646,80.0,80.0,-38.69155881591503,-50.32488249465661,2623.618496144675,Probability + VaR,0.0
TSLA,Jump Diffusion,117.3058376866818,67.50930306452082,159.18070604606797,80.0,80.0,-35.22981417070416,-48.22943489076963,2623.618496144675,Probability,2623.618496144674
TSLA,Jump Diffusion,117.3058376866818,67.50930306452082,159.18070604606797,80.0,80.0,-35.22981417070416,-48.22943489076963,2623.618496144675,Expected Return,2623.618496144674
TSLA,Jump Diffusion,117.3058376866818,67.50930306452082,159.18070604606797,80.0,80.0,-35.22981417070416,-48.22943489076963,2623.618496144675,Probability + VaR,0.0
TSLA,GARCH,107.72332857358285,57.09943506883165,155.6134127731854,80.0,80.0,-28.608393690638604,-42.3338965776323,2623.618496144675,Probability,2623.618496144674
TSLA,GARCH,107.72332857358285,57.09943506883165,155.6134127731854,80.0,80.0,-28.608393690638604,-42.3338965776323,2623.618496144675,Expected Return,2623.618496144674
TSLA,GARCH,107.72332857358285,57.09943506883165,155.6134127731854,80.0,80.0,-28.608393690638604,-42.3338965776323,2623.618496144675,Probability + VaR,-43.48875708920751
NVDA,GBM,62.35746256723617,34.888993954266915,64.00567696593843,70.0,80.0,-36.02999844838975,-46.26979843062206,27805.952831282273,Probability,3956.3189144320595
NVDA,GBM,62.35746256723617,34.888993954266915,64.00567696593843,70.0,80.0,-36.02999844838975,-46.26979843062206,27805.952831282273,Expected Return,27805.952831282273
NVDA,GBM,62.35746256723617,34.888993954266915,64.00567696593843,70.0,80.0,-36.02999844838975,-46.26979843062206,27805.952831282273,Probability + VaR,34.90678945053034
NVDA,Historical Bootstrap,61.935111539004765,34.826624970316274,63.211012274078925,70.0,80.0,-35.972070322523784,-46.358106874810446,27805.952831282273,Probability,3956.3189144320595
NVDA,Historical Bootstrap,61.935111539004765,34.826624970316274,63.211012274078925,70.0,80.0,-35.972070322523784,-46.358106874810446,27805.952831282273,Expected Return,27805.952831282273
