Ticker,Model,Strategy,Year,Probability Up,Expected Return (%),Decision,Predicted,Actual,Actual Return (%),VaR (%),ES (%),Strategy Return (%)
AAPL,GARCH,Expected Return,2016,0.8722,57.082957688010275,BUY,38.33436514520668,23.66843605041504,-3.013707816324468,-16.306712327964867,-27.785799617225067,-3.013707816324468
AAPL,GARCH,Expected Return,2017,0.8115,41.81230498828896,BUY,33.56475471777271,26.622358322143555,12.480428641066535,-23.744403786500254,-33.47288972026926,12.480428641066535
AAPL,GARCH,Expected Return,2018,0.8226,40.68847696320989,BUY,37.454590455112125,39.52470397949219,48.464322736640916,-20.134228754656192,-29.941130623886032,48.464322736640916
AAPL,GARCH,Expected Return,2019,0.7988,32.90613922633746,BUY,52.53075809978163,37.39424133300781,-5.3902051931616946,-21.065026347620723,-29.666910959635473,-5.3902051931616946
AAPL,GARCH,Expected Return,2020,0.8664,39.68125421348986,BUY,52.23274529756454,70.65934753417969,88.95783151457827,-13.064510012386316,-22.336217085192533,88.95783151457827
AAPL,GARCH,Expected Return,2021,0.8475,35.887170121003955,BUY,96.01698779016216,128.81675720214844,82.30674595436443,-14.631419362384591,-23.63342523664835,82.30674595436443
AAPL,GARCH,Expected Return,2022,0.8509,40.657759005102214,BUY,181.1907639035856,173.44943237304688,34.64819029783342,-16.53380533552477,-25.882478624561543,34.64819029783342
AAPL,GARCH,Expected Return,2023,0.8566,40.79373614446229,BUY,244.20593615937517,127.6515121459961,-26.40419146979436,-15.2351157019142,-25.39254822983989,-26.40419146979436
AAPL,GARCH,Expected Return,2024,0.8028,33.78804756211001,BUY,170.7824657836379,190.21102905273438,49.00805000663716,-21.02846784820435,-30.406067095022994,49.00805000663716
AAPL,GARCH,Expected Return,2025,0.8476,37.995782990572835,BUY,262.4831988757468,248.61578369140625,30.70524087353508,-15.997288416279416,-24.917132234409475,30.70524087353508
AAPL,GARCH,Probability,2016,0.8722,57.082957688010275,BUY,38.33436514520668,23.66843605041504,-3.013707816324468,-16.306712327964867,-27.785799617225067,-3.013707816324468
AAPL,GARCH,Probability,2017,0.8115,41.81230498828896,BUY,33.56475471777271,26.622358322143555,12.480428641066535,-23.744403786500254,-33.47288972026926,12.480428641066535
AAPL,GARCH,Probability,2018,0.8226,40.68847696320989,BUY,37.454590455112125,39.52470397949219,48.464322736640916,-20.134228754656192,-29.941130623886032,48.464322736640916
AAPL,GARCH,Probability,2019,0.7988,32.90613922633746,BUY,52.53075809978163,37.39424133300781,-5.3902051931616946,-21.065026347620723,-29.666910959635473,-5.3902051931616946
AAPL,GARCH,Probability,2020,0.8664,39.68125421348986,BUY,52.23274529756454,70.65934753417969,88.95783151457827,-13.064510012386316,-22.336217085192533,88.95783151457827
AAPL,GARCH,Probability,2021,0.8475,35.887170121003955,BUY,96.01698779016216,128.81675720214844,82.30674595436443,-14.631419362384591,-23.63342523664835,82.30674595436443
AAPL,GARCH,Probability,2022,0.8509,40.657759005102214,BUY,181.1907639035856,173.44943237304688,34.64819029783342,-16.53380533552477,-25.882478624561543,34.64819029783342
AAPL,GARCH,Probability,2023,0.8566,40.79373614446229,BUY,244.20593615937517,127.6515121459961,-26.40419146979436,-15.2351157019142,-25.39254822983989,-26.40419146979436
AAPL,GARCH,Probability,2024,0.8028,33.78804756211001,BUY,170.7824657836379,190.21102905273438,49.00805000663716,-21.02846784820435,-30.406067095022994,49.00805000663716
AAPL,GARCH,Probability,2025,0.8476,37.995782990572835,BUY,262.4831988757468,248.61578369140625,30.70524087353508,-15.997288416279416,-24.917132234409475,30.70524087353508
AAPL,GARCH,Probability + VaR,2016,0.8722,57.082957688010275,BUY,38.33436514520668,23.66843605041504,-3.013707816324468,-16.306712327964867,-27.785799617225067,-3.013707816324468
AAPL,GARCH,Probability + VaR,2017,0.8115,41.81230498828896,BUY,33.56475471777271,26.622358322143555,12.480428641066535,-23.744403786500254,-33.47288972026926,12.480428641066535
AAPL,GARCH,Probability + VaR,2018,0.8226,40.68847696320989,BUY,37.454590455112125,39.52470397949219,48.464322736640916,-20.134228754656192,-29.941130623886032,48.464322736640916
AAPL,GARCH,Probability + VaR,2019,0.7988,32.90613922633746,BUY,52.53075809978163,37.39424133300781,-5.3902051931616946,-21.065026347620723,-29.666910959635473,-5.3902051931616946
AAPL,GARCH,Probability + VaR,2020,0.8664,39.68125421348986,BUY,52.23274529756454,70.65934753417969,88.95783151457827,-13.064510012386316,-22.336217085192533,88.95783151457827
AAPL,GARCH,Probability + VaR,2021,0.8475,35.887170121003955,BUY,96.01698779016216,128.81675720214844,82.30674595436443,-14.631419362384591,-23.63342523664835,82.30674595436443
AAPL,GARCH,Probability + VaR,2022,0.8509,40.657759005102214,BUY,181.1907639035856,173.44943237304688,34.64819029783342,-16.53380533552477,-25.882478624561543,34.64819029783342
AAPL,GARCH,Probability + VaR,2023,0.8566,40.79373614446229,BUY,244.20593615937517,127.6515121459961,-26.40419146979436,-15.2351157019142,-25.39254822983989,-26.40419146979436
AAPL,GARCH,Probability + VaR,2024,0.8028,33.78804756211001,BUY,170.7824657836379,190.21102905273438,49.00805000663716,-21.02846784820435,-30.406067095022994,49.00805000663716
AAPL,GARCH,Probability + VaR,2025,0.8476,37.995782990572835,BUY,262.4831988757468,248.61578369140625,30.70524087353508,-15.997288416279416,-24.917132234409475,30.70524087353508
AAPL,GBM,Expected Return,2016,0.8225,47.14782537793165,BUY,35.9098055663316,23.66843605041504,-3.013707816324468,-22.01095213332094,-32.21779747605588,-3.013707816324468
AAPL,GBM,Expected Return,2017,0.7616,35.090769934107975,BUY,31.973872491867652,26.622358322143555,12.480428641066535,-27.064450588321826,-36.40809207337065,12.480428641066535
AAPL,GBM,Expected Return,2018,0.7662,33.88607777047904,BUY,35.64363136752072,39.52470397949219,48.464322736640916,-25.304084840285746,-34.13581451450165,48.464322736640916
AAPL,GBM,Expected Return,2019,0.7268,26.81991072510046,BUY,50.12519430115222,37.39424133300781,-5.3902051931616946,-27.5445037350904,-36.159154746938746,-5.3902051931616946
AAPL,GBM,Expected Return,2020,0.8391,34.11417282582314,BUY,50.15097744825549,70.65934753417969,88.95783151457827,-16.314641603853,-24.535358828494882,88.95783151457827
AAPL,GBM,Expected Return,2021,0.8171,31.35918694242614,BUY,92.81754441972167,128.81675720214844,82.30674595436443,-17.273174723790845,-25.185816919932396,82.30674595436443
AAPL,GBM,Expected Return,2022,0.8188,34.521103302559055,BUY,173.28572302690878,173.44943237304688,34.64819029783342,-18.68383225876943,-27.427350431464507,34.64819029783342
AAPL,GBM,Expected Return,2023,0.8316,36.07510354968961,BUY,236.02149470797238,127.6515121459961,-26.40419146979436,-17.737918587828027,-26.932473994405953,-26.40419146979436
AAPL,GBM,Expected Return,2024,0.7599,27.474300092339725,BUY,162.72287166539655,190.21102905273438,49.00805000663716,-23.574904406145695,-31.715172537042868,49.00805000663716
AAPL,GBM,Expected Return,2025,0.8048,32.71706831335613,BUY,252.44250136745515,248.61578369140625,30.70524087353508,-19.404895639767954,-28.172684865372727,30.70524087353508
AAPL,GBM,Probability,2016,0.8225,47.14782537793165,BUY,35.9098055663316,23.66843605041504,-3.013707816324468,-22.01095213332094,-32.21779747605588,-3.013707816324468
AAPL,GBM,Probability,2017,0.7616,35.090769934107975,BUY,31.973872491867652,26.622358322143555,12.480428641066535,-27.064450588321826,-36.40809207337065,12.480428641066535
AAPL,GBM,Probability,2018,0.7662,33.88607777047904,BUY,35.64363136752072,39.52470397949219,48.464322736640916,-25.304084840285746,-34.13581451450165,48.464322736640916
AAPL,GBM,Probability,2019,0.7268,26.81991072510046,BUY,50.12519430115222,37.39424133300781,-5.3902051931616946,-27.5445037350904,-36.159154746938746,-5.3902051931616946
AAPL,GBM,Probability,2020,0.8391,34.11417282582314,BUY,50.15097744825549,70.65934753417969,88.95783151457827,-16.314641603853,-24.535358828494882,88.95783151457827
AAPL,GBM,Probability,2021,0.8171,31.35918694242614,BUY,92.81754441972167,128.81675720214844,82.30674595436443,-17.273174723790845,-25.185816919932396,82.30674595436443
AAPL,GBM,Probability,2022,0.8188,34.521103302559055,BUY,173.28572302690878,173.44943237304688,34.64819029783342,-18.68383225876943,-27.427350431464507,34.64819029783342
AAPL,GBM,Probability,2023,0.8316,36.07510354968961,BUY,236.02149470797238,127.6515121459961,-26.40419146979436,-17.737918587828027,-26.932473994405953,-26.40419146979436
AAPL,GBM,Probability,2024,0.7599,27.474300092339725,BUY,162.72287166539655,190.21102905273438,49.00805000663716,-23.574904406145695,-31.715172537042868,49.00805000663716
AAPL,GBM,Probability,2025,0.8048,32.71706831335613,BUY,252.44250136745515,248.61578369140625,30.70524087353508,-19.404895639767954,-28.172684865372727,30.70524087353508
AAPL,GBM,Probability + VaR,2016,0.8225,47.14782537793165,BUY,35.9098055663316,23.66843605041504,-3.013707816324468,-22.01095213332094,-32.21779747605588,-3.013707816324468
AAPL,GBM,Probability + VaR,2017,0.7616,35.090769934107975,HOLD,31.973872491867652,26.622358322143555,12.480428641066535,-27.064450588321826,-36.40809207337065,0.0
AAPL,GBM,Probability + VaR,2018,0.7662,33.88607777047904,HOLD,35.64363136752072,39.52470397949219,48.464322736640916,-25.304084840285746,-34.13581451450165,0.0
AAPL,GBM,Probability + VaR,2019,0.7268,26.81991072510046,HOLD,50.12519430115222,37.39424133300781,-5.3902051931616946,-27.5445037350904,-36.159154746938746,0.0
AAPL,GBM,Probability + VaR,2020,0.8391,34.11417282582314,BUY,50.15097744825549,70.65934753417969,88.95783151457827,-16.314641603853,-24.535358828494882,88.95783151457827
AAPL,GBM,Probability + VaR,2021,0.8171,31.35918694242614,BUY,92.81754441972167,128.81675720214844,82.30674595436443,-17.273174723790845,-25.185816919932396,82.30674595436443
AAPL,GBM,Probability + VaR,2022,0.8188,34.521103302559055,BUY,173.28572302690878,173.44943237304688,34.64819029783342,-18.68383225876943,-27.427350431464507,34.64819029783342
